global,vaccine,year,immunization_coverage
global,bcg,1980,15
global,bcg,1981,21
global,bcg,1982,23
global,bcg,1983,37
global,bcg,1984,44
global,bcg,1985,49
global,bcg,1986,53
global,bcg,1987,61
global,bcg,1988,67
global,bcg,1989,71
global,bcg,1990,81
global,bcg,1991,78
global,bcg,1992,78
global,bcg,1993,79
global,bcg,1994,80
global,bcg,1995,81
global,bcg,1996,80
global,bcg,1997,78
global,bcg,1998,79
global,bcg,1999,80
global,bcg,2000,80
global,bcg,2001,80
global,bcg,2002,80
global,bcg,2003,81
global,bcg,2004,83
global,bcg,2005,85
global,bcg,2006,86
global,bcg,2007,87
global,bcg,2008,88
global,bcg,2009,89
global,bcg,2010,89
global,bcg,2011,90
global,bcg,2012,89
global,bcg,2013,89
global,bcg,2014,88
global,bcg,2015,87
global,bcg,2016,88
global,bcg,2017,88
global,dtp1,1980,31
global,dtp1,1981,36
global,dtp1,1982,39
global,dtp1,1983,56
global,dtp1,1984,63
global,dtp1,1985,67
global,dtp1,1986,70
global,dtp1,1987,74
global,dtp1,1988,79
global,dtp1,1989,83
global,dtp1,1990,88
global,dtp1,1991,86
global,dtp1,1992,85
global,dtp1,1993,85
global,dtp1,1994,86
global,dtp1,1995,87
global,dtp1,1996,86
global,dtp1,1997,86
global,dtp1,1998,84
global,dtp1,1999,83
global,dtp1,2000,83
global,dtp1,2001,83
global,dtp1,2002,83
global,dtp1,2003,84
global,dtp1,2004,85
global,dtp1,2005,86
global,dtp1,2006,87
global,dtp1,2007,87
global,dtp1,2008,88
global,dtp1,2009,90
global,dtp1,2010,89
global,dtp1,2011,91
global,dtp1,2012,90
global,dtp1,2013,89
global,dtp1,2014,89
global,dtp1,2015,90
global,dtp1,2016,90
global,dtp1,2017,90
global,dtp3,1980,21
global,dtp3,1981,24
global,dtp3,1982,26
global,dtp3,1983,39
global,dtp3,1984,45
global,dtp3,1985,50
global,dtp3,1986,52
global,dtp3,1987,56
global,dtp3,1988,64
global,dtp3,1989,68
global,dtp3,1990,75
global,dtp3,1991,72
global,dtp3,1992,70
global,dtp3,1993,70
global,dtp3,1994,73
global,dtp3,1995,73
global,dtp3,1996,72
global,dtp3,1997,71
global,dtp3,1998,72
global,dtp3,1999,72
global,dtp3,2000,72
global,dtp3,2001,73
global,dtp3,2002,73
global,dtp3,2003,74
global,dtp3,2004,76
global,dtp3,2005,77
global,dtp3,2006,79
global,dtp3,2007,79
global,dtp3,2008,81
global,dtp3,2009,83
global,dtp3,2010,84
global,dtp3,2011,85
global,dtp3,2012,84
global,dtp3,2013,84
global,dtp3,2014,84
global,dtp3,2015,85
global,dtp3,2016,85
global,dtp3,2017,85
global,hepb3,1985,0
global,hepb3,1986,0
global,hepb3,1987,0
global,hepb3,1988,0
global,hepb3,1989,0
global,hepb3,1990,1
global,hepb3,1991,1
global,hepb3,1992,3
global,hepb3,1993,4
global,hepb3,1994,8
global,hepb3,1995,11
global,hepb3,1996,14
global,hepb3,1997,15
global,hepb3,1998,16
global,hepb3,1999,18
global,hepb3,2000,29
global,hepb3,2001,32
global,hepb3,2002,38
global,hepb3,2003,44
global,hepb3,2004,49
global,hepb3,2005,54
global,hepb3,2006,58
global,hepb3,2007,63
global,hepb3,2008,69
global,hepb3,2009,73
global,hepb3,2010,73
global,hepb3,2011,75
global,hepb3,2012,80
global,hepb3,2013,79
global,hepb3,2014,81
global,hepb3,2015,83
global,hepb3,2016,84
global,hepb3,2017,84
global,hepbb,2000,6
global,hepbb,2001,6
global,hepbb,2002,8
global,hepbb,2003,10
global,hepbb,2004,21
global,hepbb,2005,23
global,hepbb,2006,23
global,hepbb,2007,24
global,hepbb,2008,27
global,hepbb,2009,28
global,hepbb,2010,29
global,hepbb,2011,31
global,hepbb,2012,34
global,hepbb,2013,37
global,hepbb,2014,37
global,hepbb,2015,38
global,hepbb,2016,38
global,hepbb,2017,43
global,hib3,1990,0
global,hib3,1991,0
global,hib3,1992,1
global,hib3,1993,1
global,hib3,1994,1
global,hib3,1995,4
global,hib3,1996,5
global,hib3,1997,5
global,hib3,1998,7
global,hib3,1999,8
global,hib3,2000,14
global,hib3,2001,14
global,hib3,2002,17
global,hib3,2003,18
global,hib3,2004,19
global,hib3,2005,21
global,hib3,2006,21
global,hib3,2007,25
global,hib3,2008,28
global,hib3,2009,38
global,hib3,2010,40
global,hib3,2011,42
global,hib3,2012,44
global,hib3,2013,50
global,hib3,2014,55
global,hib3,2015,63
global,hib3,2016,70
global,hib3,2017,72
global,ipv1,2015,23
global,ipv1,2016,45
global,ipv1,2017,50
global,mcv1,1980,17
global,mcv1,1981,20
global,mcv1,1982,21
global,mcv1,1983,38
global,mcv1,1984,42
global,mcv1,1985,48
global,mcv1,1986,47
global,mcv1,1987,54
global,mcv1,1988,63
global,mcv1,1989,68
global,mcv1,1990,73
global,mcv1,1991,69
global,mcv1,1992,69
global,mcv1,1993,70
global,mcv1,1994,71
global,mcv1,1995,73
global,mcv1,1996,73
global,mcv1,1997,71
global,mcv1,1998,71
global,mcv1,1999,71
global,mcv1,2000,72
global,mcv1,2001,73
global,mcv1,2002,72
global,mcv1,2003,74
global,mcv1,2004,76
global,mcv1,2005,77
global,mcv1,2006,79
global,mcv1,2007,80
global,mcv1,2008,81
global,mcv1,2009,83
global,mcv1,2010,84
global,mcv1,2011,85
global,mcv1,2012,84
global,mcv1,2013,84
global,mcv1,2014,84
global,mcv1,2015,85
global,mcv1,2016,85
global,mcv1,2017,85
global,mcv2,2000,15
global,mcv2,2001,17
global,mcv2,2002,17
global,mcv2,2003,18
global,mcv2,2004,20
global,mcv2,2005,30
global,mcv2,2006,32
global,mcv2,2007,33
global,mcv2,2008,35
global,mcv2,2009,38
global,mcv2,2010,39
global,mcv2,2011,45
global,mcv2,2012,48
global,mcv2,2013,53
global,mcv2,2014,56
global,mcv2,2015,59
global,mcv2,2016,66
global,mcv2,2017,67
global,pcv3,2008,4
global,pcv3,2009,7
global,pcv3,2010,11
global,pcv3,2011,16
global,pcv3,2012,20
global,pcv3,2013,26
global,pcv3,2014,32
global,pcv3,2015,38
global,pcv3,2016,42
global,pcv3,2017,44
global,pol3,1980,22
global,pol3,1981,24
global,pol3,1982,42
global,pol3,1983,44
global,pol3,1984,48
global,pol3,1985,52
global,pol3,1986,51
global,pol3,1987,57
global,pol3,1988,65
global,pol3,1989,70
global,pol3,1990,75
global,pol3,1991,72
global,pol3,1992,70
global,pol3,1993,70
global,pol3,1994,73
global,pol3,1995,74
global,pol3,1996,74
global,pol3,1997,73
global,pol3,1998,73
global,pol3,1999,73
global,pol3,2000,73
global,pol3,2001,73
global,pol3,2002,74
global,pol3,2003,75
global,pol3,2004,76
global,pol3,2005,78
global,pol3,2006,80
global,pol3,2007,81
global,pol3,2008,82
global,pol3,2009,84
global,pol3,2010,84
global,pol3,2011,84
global,pol3,2012,84
global,pol3,2013,84
global,pol3,2014,84
global,pol3,2015,85
global,pol3,2016,84
global,pol3,2017,85
global,rcv1,1980,3
global,rcv1,1981,3
global,rcv1,1982,4
global,rcv1,1983,4
global,rcv1,1984,5
global,rcv1,1985,5
global,rcv1,1986,5
global,rcv1,1987,5
global,rcv1,1988,6
global,rcv1,1989,7
global,rcv1,1990,8
global,rcv1,1991,8
global,rcv1,1992,9
global,rcv1,1993,10
global,rcv1,1994,10
global,rcv1,1995,12
global,rcv1,1996,12
global,rcv1,1997,13
global,rcv1,1998,15
global,rcv1,1999,17
global,rcv1,2000,21
global,rcv1,2001,22
global,rcv1,2002,22
global,rcv1,2003,23
global,rcv1,2004,24
global,rcv1,2005,24
global,rcv1,2006,26
global,rcv1,2007,26
global,rcv1,2008,26
global,rcv1,2009,26
global,rcv1,2010,35
global,rcv1,2011,38
global,rcv1,2012,40
global,rcv1,2013,42
global,rcv1,2014,44
global,rcv1,2015,47
global,rcv1,2016,47
global,rcv1,2017,52
global,rotac,2006,1
global,rotac,2007,2
global,rotac,2008,4
global,rotac,2009,7
global,rotac,2010,8
global,rotac,2011,9
global,rotac,2012,11
global,rotac,2013,14
global,rotac,2014,19
global,rotac,2015,23
global,rotac,2016,25
global,rotac,2017,28
global,yfv,1997,3
global,yfv,1998,9
global,yfv,1999,10
global,yfv,2000,11
global,yfv,2001,12
global,yfv,2002,12
global,yfv,2003,17
global,yfv,2004,25
global,yfv,2005,31
global,yfv,2006,36
global,yfv,2007,39
global,yfv,2008,38
global,yfv,2009,41
global,yfv,2010,39
global,yfv,2011,36
global,yfv,2012,36
global,yfv,2013,40
global,yfv,2014,41
global,yfv,2015,41
global,yfv,2016,41
global,yfv,2017,43
